FZ,SR,SA,V,FX,NFX,NFY
-683.14,0.027,6.02,72.5,651.58,-0.95,1.72
-681.67,0.027,6.043,72.51,662.81,-0.97,1.71
-670.61,0.028,6.045,72.52,697.23,-1.04,1.74
-659.65,0.028,6.046,72.53,730.78,-1.11,1.79
-650.73,0.029,6.059,72.53,741.74,-1.14,1.83
-657.78,0.031,6.04,72.53,736.33,-1.12,1.81
-668.17,0.032,6.045,72.55,725.24,-1.09,1.77
-677.35,0.033,6.045,72.57,736.63,-1.09,1.72
-671.33,0.034,6.049,72.57,769.55,-1.15,1.73
-661.2,0.034,6.046,72.6,809.06,-1.22,1.76
-652.6,0.035,6.039,72.61,831.82,-1.27,1.8
-656.53,0.036,6.036,72.64,827.83,-1.26,1.79
-664.2,0.037,6.04,72.65,809.01,-1.22,1.75
-676.4,0.038,6.045,72.68,802.04,-1.19,1.7
-682.1,0.039,6.033,72.68,823.73,-1.21,1.67
-675.33,0.04,6.039,72.69,866.95,-1.28,1.67
-662.95,0.042,6.046,72.69,908.34,-1.37,1.71
-656.8,0.043,6.036,72.69,922.71,-1.4,1.74
-660.9,0.044,6.04,72.69,909.64,-1.38,1.73
-676.11,0.046,6.05,72.67,888.73,-1.31,1.68
-686.05,0.046,6.039,72.64,882.45,-1.29,1.63
-683.23,0.047,6.053,72.62,906.96,-1.33,1.62
-671.19,0.049,6.048,72.59,949.89,-1.42,1.65
-660.33,0.05,6.043,72.56,984.94,-1.49,1.68
-655.92,0.052,6.045,72.53,991.26,-1.51,1.7
-668.01,0.053,6.042,72.52,976.4,-1.46,1.66
-683.64,0.056,6.045,72.51,964.9,-1.41,1.59
-690.72,0.056,6.045,72.49,975.1,-1.41,1.55
-684.33,0.057,6.026,72.49,1006.6,-1.47,1.56
-672.44,0.058,6.053,72.49,1035.94,-1.54,1.59
-663.61,0.058,6.045,72.48,1043.47,-1.57,1.63
-667.71,0.058,6.045,72.48,1024.49,-1.53,1.63
-678.64,0.059,6.046,72.49,999.99,-1.47,1.59
-682.59,0.06,6.048,72.5,996.61,-1.46,1.57
-680.39,0.061,6.042,72.5,1026.5,-1.51,1.56
-672.1,0.062,6.043,72.51,1074.42,-1.6,1.58
-662.25,0.064,6.045,72.52,1106.46,-1.67,1.61
-666.04,0.065,6.042,72.51,1111.04,-1.67,1.6
-675.81,0.067,6.048,72.52,1094.8,-1.62,1.56
-685.08,0.068,6.042,72.51,1083.41,-1.58,1.51
-687.54,0.07,6.046,72.51,1096.78,-1.6,1.48
-680.33,0.071,6.048,72.51,1133.8,-1.67,1.49
-674.03,0.073,6.048,72.52,1169.72,-1.74,1.51
-669.74,0.073,6.04,72.51,1180.3,-1.76,1.53
-674.42,0.076,6.061,72.5,1164.57,-1.73,1.5
-682.29,0.076,6.043,72.5,1140.32,-1.67,1.46
-689.29,0.077,6.043,72.5,1136.64,-1.65,1.43
-690.75,0.078,6.048,72.49,1157.17,-1.68,1.42
-677.78,0.078,6.05,72.48,1185.71,-1.75,1.46
-667.23,0.078,6.04,72.47,1196.69,-1.79,1.49
-661.92,0.079,6.046,72.46,1178.3,-1.78,1.5
-676.45,0.079,6.046,72.44,1148.6,-1.7,1.46
-686.84,0.08,6.043,72.44,1136.86,-1.66,1.43
-684.12,0.08,6.04,72.44,1155.23,-1.69,1.42
-672.47,0.081,6.042,72.43,1190.53,-1.77,1.45
-662.17,0.083,6.039,72.43,1219.69,-1.84,1.47
-661.01,0.084,6.042,72.43,1220.88,-1.85,1.47
-670.89,0.086,6.036,72.41,1199.07,-1.79,1.44
-685.17,0.087,6.05,72.41,1177.75,-1.72,1.39
-693.06,0.088,6.045,72.41,1180.91,-1.7,1.35
-685.01,0.089,6.048,72.41,1205.85,-1.76,1.36
-671.41,0.088,6.033,72.41,1231.68,-1.83,1.38
-661.36,0.089,6.046,72.42,1236.53,-1.87,1.41
-669.09,0.09,6.046,72.41,1220.85,-1.82,1.4
-679.24,0.092,6.048,72.42,1198.24,-1.76,1.37
-688.53,0.093,6.045,72.43,1200.97,-1.74,1.33
-686.02,0.094,6.046,72.43,1230.46,-1.79,1.32
-675.52,0.095,6.045,72.43,1265.56,-1.87,1.34
-666.87,0.097,6.045,72.43,1281.67,-1.92,1.35
-672.68,0.098,6.04,72.44,1265.63,-1.88,1.34
-683.68,0.098,6.048,72.44,1235.99,-1.81,1.3
-690.65,0.1,6.048,72.44,1220.31,-1.77,1.27
-686.42,0.1,6.048,72.44,1234.09,-1.8,1.26
-676.83,0.101,6.037,72.43,1264.85,-1.87,1.28
-670.27,0.103,6.04,72.42,1288.26,-1.92,1.3
-669.5,0.104,6.043,72.41,1282.2,-1.92,1.3
-683.2,0.106,6.048,72.39,1262.11,-1.85,1.26
-689.76,0.107,6.048,72.39,1248.36,-1.81,1.23
-685.42,0.108,6.048,72.38,1259.93,-1.84,1.22
-679.46,0.108,6.043,72.38,1288.52,-1.9,1.24
-672.41,0.109,6.043,72.37,1305.79,-1.94,1.25
-668.6,0.109,6.042,72.38,1297.92,-1.94,1.27
-674.4,0.109,6.037,72.39,1272.66,-1.89,1.25
-680.58,0.111,6.043,72.4,1252.11,-1.84,1.22
-681.75,0.112,6.046,72.42,1257.98,-1.85,1.21
-681.37,0.113,6.031,72.44,1288.96,-1.89,1.21
-672.43,0.114,6.062,72.45,1315.81,-1.96,1.23
-667.12,0.115,6.045,72.47,1316.16,-1.97,1.24
-674.26,0.116,6.046,72.5,1293.25,-1.92,1.21
-682.22,0.116,6.043,72.53,1268.1,-1.86,1.18
-685.22,0.117,6.039,72.56,1268.71,-1.85,1.16
-681.08,0.117,6.039,72.57,1290.46,-1.89,1.16
-673.59,0.118,6.045,72.57,1321.02,-1.96,1.18
-670.26,0.119,6.043,72.57,1327.55,-1.98,1.19
-671.37,0.121,6.05,72.57,1312.31,-1.95,1.18
-682.1,0.123,6.052,72.55,1291.49,-1.89,1.14
-686.06,0.125,6.045,72.52,1290.19,-1.88,1.11
-684.31,0.126,6.045,72.5,1315.63,-1.92,1.11
-678.32,0.127,6.055,72.49,1348.89,-1.99,1.12
-670.31,0.128,6.045,72.48,1357.92,-2.03,1.14
-673.09,0.129,6.037,72.47,1339.75,-1.99,1.13
-680.3,0.13,6.033,72.46,1308.1,-1.92,1.11
-688.09,0.13,6.036,72.45,1296.55,-1.88,1.08
-1140.87,0.096,6.045,72.49,2104.37,-1.84,0.91
-1129.23,0.095,6.034,72.48,2118.15,-1.88,0.92
-1113.62,0.095,6.05,72.49,2116.07,-1.9,0.94
-1106.64,0.095,6.052,72.49,2097.8,-1.9,0.94
-1111.09,0.095,6.053,72.49,2069.35,-1.86,0.94
-1123.91,0.094,6.056,72.49,2047.46,-1.82,0.93
-1126.04,0.094,6.056,72.47,2044.72,-1.82,0.93
-1115.83,0.094,6.052,72.46,2060.71,-1.85,0.94
-1097.25,0.094,6.046,72.43,2076.22,-1.89,0.95
-1093.22,0.094,6.052,72.41,2070.17,-1.89,0.95
-1101.83,0.094,6.052,72.4,2053.7,-1.86,0.94
-1112.85,0.095,6.05,72.4,2045.78,-1.84,0.93
-1118.45,0.094,6.05,72.41,2062.5,-1.84,0.93
-1110.15,0.094,6.053,72.43,2089.95,-1.88,0.94
-1092.89,0.094,6.05,72.44,2106.28,-1.93,0.96
-1086.25,0.094,6.048,72.44,2097.9,-1.93,0.96
-1089.99,0.094,6.018,72.46,2073.72,-1.9,0.96
-1102.16,0.094,6.046,72.47,2057.95,-1.87,0.95
-1109.14,0.094,6.048,72.46,2062.76,-1.86,0.94
-1103.51,0.094,6.05,72.47,2086.09,-1.89,0.95
-1091.16,0.093,6.046,72.47,2104.47,-1.93,0.96
-1081.42,0.093,6.05,72.47,2100.06,-1.94,0.97
-1088.23,0.094,6.052,72.47,2075.76,-1.91,0.96
-1099.91,0.093,6.052,72.46,2052.16,-1.87,0.95
-1107.56,0.093,6.053,72.45,2056.41,-1.86,0.94
-1103.12,0.093,6.042,72.44,2080.97,-1.89,0.95
-1090.98,0.094,6.046,72.42,2102.48,-1.93,0.97
-1082.16,0.093,6.048,72.42,2103.58,-1.94,0.97
-1085.8,0.095,6.053,72.4,2085.59,-1.92,0.96
-1097.81,0.095,6.053,72.39,2067.57,-1.88,0.95
-1107.19,0.095,6.046,72.38,2065.04,-1.87,0.94
-1104.33,0.095,6.052,72.37,2084.78,-1.89,0.95
-1092.93,0.095,6.043,72.37,2099.5,-1.92,0.96
-1086.26,0.095,6.045,72.36,2097.09,-1.93,0.96
-1083.43,0.095,6.061,72.35,2078.49,-1.92,0.96
-1094.81,0.095,6.059,72.35,2059.75,-1.88,0.95
-1109.04,0.095,6.048,72.34,2058.9,-1.86,0.94
-1107.23,0.095,6.046,72.35,2078.54,-1.88,0.94
-1096.44,0.095,6.048,72.36,2096.03,-1.91,0.95
-1088.84,0.095,6.048,72.37,2094.09,-1.92,0.96
-1088.25,0.095,6.048,72.38,2067.87,-1.9,0.95
-1098.28,0.094,6.05,72.4,2041.2,-1.86,0.95
-1110.47,0.094,6.049,72.41,2033.66,-1.83,0.94
-1109.79,0.094,6.036,72.41,2051.21,-1.85,0.94
-1100.93,0.094,6.048,72.42,2077.0,-1.89,0.95
-1088.48,0.094,6.055,72.42,2085.62,-1.92,0.96
-1089.29,0.095,6.05,72.41,2070.42,-1.9,0.95
-1099.88,0.095,6.056,72.4,2047.15,-1.86,0.94
-1112.43,0.095,6.053,72.4,2040.81,-1.83,0.93
-1113.23,0.095,6.058,72.39,2056.25,-1.85,0.93
-1105.9,0.094,6.059,72.37,2081.33,-1.88,0.94
-1090.6,0.094,6.049,72.36,2085.27,-1.91,0.96
-1086.44,0.093,6.065,72.35,2062.79,-1.9,0.96
-1095.54,0.092,6.05,72.33,2020.37,-1.84,0.96
-1104.98,0.09,6.053,72.33,1993.46,-1.8,0.95
-1107.76,0.089,6.049,72.33,1993.7,-1.8,0.95
-1099.95,0.087,6.05,72.34,2015.33,-1.83,0.97
-1084.82,0.085,6.05,72.36,2025.93,-1.87,0.99
-1074.13,0.084,6.045,72.37,2018.01,-1.88,1.0
-1079.98,0.084,6.05,72.38,1992.09,-1.84,1.0
-1088.67,0.083,6.04,72.38,1969.33,-1.81,1.0
-1096.51,0.082,6.045,72.4,1965.32,-1.79,1.0
-1090.07,0.08,6.046,72.4,1979.4,-1.82,1.02
-1078.26,0.079,6.052,72.42,1983.25,-1.84,1.03
-1064.65,0.078,6.056,72.43,1967.9,-1.85,1.05
-1065.48,0.077,6.045,72.44,1934.96,-1.82,1.05
-1078.19,0.075,6.046,72.45,1909.41,-1.77,1.04
-1083.97,0.075,6.046,72.47,1905.71,-1.76,1.04
-1082.33,0.074,6.05,72.47,1923.08,-1.78,1.04
-1070.48,0.073,6.056,72.48,1938.6,-1.81,1.06
-1059.87,0.072,6.048,72.49,1933.84,-1.82,1.07
-1058.37,0.072,6.04,72.48,1906.58,-1.8,1.08
-1074.57,0.07,6.061,72.47,1871.78,-1.74,1.07
-1084.63,0.068,6.055,72.48,1851.47,-1.71,1.06
-1079.56,0.067,6.053,72.46,1853.41,-1.72,1.07
-1064.45,0.066,6.055,72.45,1866.21,-1.75,1.09
-1052.3,0.065,6.046,72.44,1870.36,-1.78,1.11
-1049.05,0.064,6.046,72.44,1852.13,-1.77,1.12
-1056.03,0.064,6.048,72.43,1825.87,-1.73,1.12
-1069.23,0.064,6.049,72.43,1812.75,-1.7,1.11
-1071.59,0.064,6.046,72.41,1821.96,-1.7,1.11
-1062.67,0.063,6.046,72.41,1848.0,-1.74,1.12
-1056.59,0.063,6.048,72.41,1861.61,-1.76,1.12
-1053.71,0.062,6.05,72.41,1847.43,-1.75,1.13
-1061.67,0.06,6.042,72.41,1809.68,-1.7,1.13
-1071.37,0.059,6.049,72.41,1769.69,-1.65,1.12
-1074.82,0.058,6.056,72.41,1754.3,-1.63,1.12
-1070.19,0.057,6.056,72.41,1763.12,-1.65,1.14
-1059.47,0.056,6.055,72.4,1781.67,-1.68,1.16
-1051.9,0.055,6.05,72.4,1776.64,-1.69,1.17
-1053.38,0.054,6.045,72.4,1757.07,-1.67,1.17
-1067.62,0.054,6.053,72.41,1728.22,-1.62,1.15
-1078.85,0.052,6.048,72.41,1707.61,-1.58,1.15
-1081.21,0.05,6.043,72.42,1706.51,-1.58,1.15
-1062.38,0.049,6.046,72.42,1713.53,-1.61,1.18
-1050.58,0.047,6.052,72.42,1713.06,-1.63,1.2
-1045.62,0.046,6.043,72.42,1691.82,-1.62,1.22
-1060.62,0.045,6.045,72.43,1654.33,-1.56,1.21
-1072.83,0.045,6.058,72.43,1627.7,-1.52,1.19
-1071.4,0.045,6.059,72.44,1622.41,-1.51,1.19
-1064.34,0.043,6.05,72.44,1636.47,-1.54,1.21
-1057.39,0.043,6.049,72.44,1649.13,-1.56,1.22
-1051.53,0.041,6.062,72.45,1641.16,-1.56,1.24
-1054.8,0.04,6.067,72.45,1609.12,-1.53,1.24
-1062.26,0.038,6.05,72.46,1569.13,-1.48,1.24
-1066.35,0.037,6.052,72.45,1541.26,-1.45,1.25
-1069.0,0.035,6.048,72.45,1534.03,-1.44,1.26
-1057.42,0.034,6.053,72.44,1536.84,-1.45,1.29
-1044.36,0.033,6.052,72.43,1538.23,-1.47,1.31
-1037.61,0.032,6.052,72.44,1521.54,-1.47,1.32
-1050.01,0.032,6.052,72.43,1496.1,-1.42,1.31
-1064.12,0.032,6.052,72.42,1473.89,-1.39,1.29
-1066.5,0.03,6.045,72.4,1469.16,-1.38,1.3
-1056.86,0.029,6.043,72.4,1476.11,-1.4,1.31
-1042.09,0.029,6.039,72.39,1481.9,-1.42,1.34
-1037.47,0.027,6.05,72.39,1469.91,-1.42,1.35
-1046.19,0.026,6.053,72.38,1444.9,-1.38,1.35
-1059.32,0.026,6.048,72.39,1420.18,-1.34,1.33
-1062.91,0.025,6.052,72.39,1410.17,-1.33,1.33
-1063.52,0.024,6.052,72.4,1418.22,-1.33,1.33
-1056.02,0.023,6.053,72.41,1424.86,-1.35,1.35
-1046.42,0.022,6.045,72.42,1420.42,-1.36,1.37
-1040.14,0.02,6.05,72.43,1387.75,-1.33,1.39
-1047.88,0.019,6.049,72.43,1339.72,-1.28,1.38
-1057.99,0.018,6.045,72.42,1297.42,-1.23,1.38
-1060.15,0.016,6.053,72.41,1278.44,-1.21,1.39
-1052.06,0.016,6.05,72.42,1284.19,-1.22,1.4
-1037.24,0.015,6.052,72.42,1299.77,-1.25,1.43
-1032.08,0.015,6.05,72.42,1306.73,-1.27,1.44
-1041.24,0.015,6.05,72.42,1293.39,-1.24,1.43
-1058.02,0.015,6.039,72.42,1266.87,-1.2,1.41
-1065.67,0.014,6.058,72.42,1240.48,-1.16,1.39
-1065.18,0.013,6.052,72.43,1228.8,-1.15,1.4
-1054.96,0.012,6.048,72.44,1224.11,-1.16,1.42
-1047.29,0.01,6.055,72.42,1210.67,-1.16,1.44
-1042.13,0.009,6.052,72.43,1179.03,-1.13,1.46
-1046.38,0.008,6.059,72.42,1133.64,-1.08,1.46
-1057.08,0.006,6.059,72.43,1088.34,-1.03,1.45
-1063.52,0.005,6.055,72.44,1058.98,-1.0,1.45
-1063.46,0.004,6.053,72.42,1051.06,-0.99,1.46
-1050.18,0.003,6.053,72.42,1054.48,-1.0,1.49
-1037.64,0.001,6.05,72.4,1048.98,-1.01,1.51
-1037.09,0.001,6.049,72.4,1021.16,-0.98,1.52
-1047.89,0.001,6.048,72.39,972.33,-0.93,1.51
-1057.77,0.002,6.053,72.39,919.71,-0.87,1.5
-1060.82,0.004,6.05,72.38,884.71,-0.83,1.5
-1052.82,0.005,6.053,72.39,871.82,-0.83,1.52
-1040.33,0.007,6.053,72.39,868.06,-0.83,1.55
-1036.34,0.008,6.056,72.4,862.39,-0.83,1.57
-1037.72,0.008,6.039,72.42,848.09,-0.82,1.57
-1046.34,0.008,6.05,72.43,828.33,-0.79,1.56
-1055.23,0.009,6.052,72.43,816.32,-0.77,1.55
-1059.1,0.01,6.048,72.43,808.5,-0.76,1.55
-1053.05,0.011,6.048,72.43,801.92,-0.76,1.57
-1042.36,0.012,6.052,72.43,787.47,-0.76,1.59
-1029.67,0.013,6.053,72.43,755.25,-0.73,1.62
-1040.03,0.014,6.046,72.43,717.92,-0.69,1.61
-1054.68,0.014,6.046,72.42,687.36,-0.65,1.59
-1063.73,0.015,6.049,72.41,672.94,-0.63,1.58
-1059.04,0.016,6.043,72.4,678.27,-0.64,1.59
-1045.44,0.016,6.053,72.39,690.78,-0.66,1.61
-1035.89,0.016,6.034,72.39,692.72,-0.67,1.63
-1036.56,0.017,6.045,72.39,669.63,-0.65,1.63
-1045.32,0.018,6.046,72.37,632.67,-0.61,1.62
-1057.84,0.019,6.043,72.37,585.19,-0.55,1.6
-1064.65,0.021,6.043,72.37,546.67,-0.51,1.6
-1063.82,0.022,6.052,72.37,523.54,-0.49,1.61
-1051.16,0.024,6.056,72.38,505.22,-0.48,1.64
-1036.11,0.026,6.043,72.37,486.26,-0.47,1.67
-1031.43,0.026,6.053,72.37,456.47,-0.44,1.68
-1043.7,0.027,6.049,72.38,415.47,-0.4,1.66
-1056.07,0.029,6.055,72.39,370.62,-0.35,1.65
-1058.12,0.03,6.059,72.39,337.69,-0.32,1.65
-1048.51,0.032,6.042,72.4,318.2,-0.3,1.67
-1035.45,0.033,6.045,72.4,306.69,-0.3,1.69
-1029.43,0.034,6.064,72.4,296.82,-0.29,1.71
-1035.73,0.034,6.05,72.4,278.71,-0.27,1.71
-1045.15,0.034,6.048,72.4,266.25,-0.25,1.69
-1061.25,0.034,6.05,72.39,263.09,-0.25,1.66
-1067.12,0.034,6.053,72.39,274.49,-0.26,1.65
-1067.2,0.034,6.052,72.38,292.52,-0.27,1.65
-1055.18,0.035,6.052,72.37,302.57,-0.29,1.67
-1044.94,0.035,6.045,72.35,294.26,-0.28,1.68
-1045.9,0.035,6.052,72.34,265.4,-0.25,1.68
-1059.69,0.036,6.05,72.32,221.29,-0.21,1.66
-1076.49,0.038,6.052,72.32,177.98,-0.17,1.64
-1073.96,0.039,6.046,72.29,143.65,-0.13,1.64
-1058.86,0.041,6.04,72.27,122.59,-0.12,1.68
-1043.01,0.042,6.04,72.26,102.64,-0.1,1.71
-1035.84,0.043,6.053,72.24,77.15,-0.07,1.73
-1042.43,0.044,6.049,72.23,38.2,-0.04,1.72
-1056.29,0.045,6.05,72.22,-7.55,0.01,1.69
-1065.8,0.047,6.052,72.22,-56.06,0.05,1.67
-1065.94,0.049,6.05,72.2,-88.54,0.08,1.67
-1054.11,0.05,6.043,72.18,-105.31,0.1,1.7
-1046.68,0.051,6.042,72.16,-115.68,0.11,1.72
-1035.1,0.052,6.046,72.16,-126.36,0.12,1.75
-1036.48,0.052,6.039,72.16,-142.1,0.14,1.75
-1051.17,0.052,6.046,72.17,-155.91,0.15,1.72
-1064.69,0.052,6.049,72.16,-161.57,0.15,1.69
-1070.83,0.052,6.049,72.16,-156.75,0.15,1.68
-1059.65,0.053,6.053,72.16,-149.97,0.14,1.7
-1044.19,0.054,6.037,72.16,-149.16,0.14,1.73
-1036.62,0.055,6.053,72.16,-170.18,0.16,1.75
-1042.58,0.056,6.055,72.17,-209.31,0.2,1.74
-1053.26,0.057,6.053,72.19,-255.92,0.24,1.72
-1062.75,0.059,6.05,72.21,-297.2,0.28,1.69
-1063.02,0.06,6.059,72.23,-326.48,0.31,1.69
-1055.72,0.062,6.056,72.27,-348.48,0.33,1.71
-1043.11,0.063,6.056,72.29,-366.57,0.35,1.74
-1033.18,0.064,6.053,72.3,-395.81,0.38,1.76
-1035.94,0.065,6.052,72.31,-435.47,0.42,1.75
-1049.28,0.067,6.049,72.31,-481.87,0.46,1.73
-1062.85,0.069,6.058,72.3,-522.6,0.49,1.69
-1063.63,0.07,6.053,72.3,-559.68,0.53,1.69
-1054.73,0.071,6.053,72.29,-586.85,0.56,1.7
-1042.02,0.072,6.052,72.3,-609.45,0.58,1.73
-1032.15,0.073,6.052,72.31,-626.04,0.61,1.75
-1032.83,0.074,6.055,72.32,-638.49,0.62,1.76
-1045.4,0.074,6.042,72.33,-649.34,0.62,1.73
-1057.33,0.075,6.052,72.34,-657.61,0.62,1.7
-1060.08,0.075,6.055,72.35,-667.91,0.63,1.69
-1057.52,0.076,6.05,72.35,-680.05,0.64,1.7
-1050.42,0.078,6.05,72.36,-699.4,0.67,1.71
-1039.04,0.079,6.046,72.36,-723.09,0.7,1.73
-1037.58,0.081,6.05,72.37,-755.02,0.73,1.73
-1051.31,0.083,6.049,72.37,-790.2,0.75,1.69
-1067.52,0.084,6.048,72.38,-820.88,0.77,1.66
-1073.01,0.085,6.046,72.39,-843.89,0.79,1.64
-1068.24,0.086,6.05,72.39,-860.29,0.81,1.65
-1053.25,0.087,6.049,72.41,-872.48,0.83,1.68
-1039.41,0.089,6.068,72.41,-889.97,0.86,1.7
-1039.17,0.09,6.052,72.42,-916.21,0.88,1.71
-1048.62,0.091,6.053,72.42,-948.87,0.9,1.68
-1064.09,0.092,6.052,72.43,-974.85,0.92,1.64
-1072.34,0.093,6.053,72.42,-991.47,0.92,1.62
-1072.25,0.094,6.048,72.42,-1002.76,0.94,1.61
-1061.54,0.095,6.049,72.41,-1009.12,0.95,1.63
-1049.88,0.095,6.05,72.4,-1016.89,0.97,1.65
-1041.32,0.096,6.049,72.39,-1031.23,0.99,1.67
-1045.14,0.096,6.043,72.39,-1051.3,1.01,1.67
-1058.67,0.098,6.05,72.39,-1073.59,1.01,1.63
-1068.2,0.099,6.048,72.39,-1096.9,1.03,1.61
-1073.04,0.1,6.058,72.4,-1117.75,1.04,1.59
-1064.15,0.101,6.053,72.4,-1132.46,1.06,1.6
-1050.03,0.103,6.048,72.4,-1146.19,1.09,1.62
-1043.48,0.103,6.048,72.39,-1155.44,1.11,1.63
-1048.17,0.104,6.056,72.38,-1162.32,1.11,1.63
-1058.59,0.104,6.058,72.38,-1169.31,1.1,1.61
-1068.35,0.104,6.05,72.37,-1169.5,1.09,1.58
-1077.67,0.105,6.055,72.38,-1170.94,1.09,1.56
-1069.8,0.105,6.049,72.38,-1176.59,1.1,1.57
-1057.72,0.106,6.053,72.39,-1184.63,1.12,1.59
-1046.82,0.107,6.055,72.39,-1199.68,1.15,1.61
-1047.11,0.108,6.042,72.39,-1219.4,1.16,1.61
-1055.99,0.11,6.056,72.39,-1244.3,1.18,1.59
-1066.26,0.111,6.052,72.39,-1266.78,1.19,1.56
-1080.33,0.112,6.053,72.39,-1281.84,1.19,1.53
-1076.06,0.113,6.049,72.4,-1289.27,1.2,1.52
-1064.45,0.114,6.086,72.39,-1293.1,1.21,1.54
-1050.59,0.114,6.039,72.38,-1298.93,1.24,1.57
-1043.65,0.115,6.055,72.38,-1309.84,1.26,1.59
-1046.19,0.116,6.055,72.38,-1330.99,1.27,1.58
-1063.94,0.117,6.046,72.38,-1354.05,1.27,1.55
-1081.24,0.119,6.049,72.37,-1374.62,1.27,1.51
-1083.96,0.12,6.05,72.37,-1390.89,1.28,1.49
-1078.99,0.122,6.056,72.38,-1405.1,1.3,1.48
-1065.04,0.122,6.048,72.38,-1415.4,1.33,1.5
-1050.24,0.123,6.055,72.37,-1420.45,1.35,1.52
-1048.43,0.123,6.05,72.37,-1427.52,1.36,1.53
-1056.2,0.124,6.05,72.37,-1437.98,1.36,1.52
-1077.15,0.125,6.05,72.37,-1447.09,1.34,1.48
-1089.86,0.126,6.053,72.37,-1460.13,1.34,1.45
-1092.07,0.127,6.048,72.36,-1476.31,1.35,1.44
-1079.28,0.129,6.046,72.36,-1494.39,1.38,1.45
-1065.32,0.13,6.037,72.35,-1511.14,1.42,1.46
-1053.53,0.132,6.053,72.36,-1524.77,1.45,1.47
-1056.06,0.133,6.062,72.37,-1537.24,1.46,1.46
-1072.14,0.134,6.048,72.38,-1543.04,1.44,1.43
-1089.66,0.135,6.05,72.41,-1548.36,1.42,1.4
-1100.39,0.136,6.058,72.42,-1552.37,1.41,1.38
-1093.53,0.137,6.048,72.43,-1562.05,1.43,1.38
-1079.79,0.138,6.058,72.44,-1573.63,1.46,1.4
-1068.79,0.139,6.048,72.45,-1586.02,1.48,1.41
-1060.13,0.141,6.052,72.45,-1599.62,1.51,1.42
-1066.2,0.142,6.053,72.45,-1611.99,1.51,1.4
-1080.72,0.143,6.056,72.44,-1618.94,1.5,1.37
-1093.79,0.144,6.043,72.44,-1623.23,1.48,1.35
-1097.56,0.144,6.058,72.44,-1627.53,1.48,1.33
-1088.36,0.144,6.055,72.42,-1631.62,1.5,1.35
-1073.31,0.145,6.05,72.42,-1632.8,1.52,1.37
-1060.52,0.145,6.053,72.42,-1632.39,1.54,1.39
-1056.33,0.146,6.058,72.42,-1640.86,1.55,1.4
-1066.24,0.146,6.052,72.41,-1652.42,1.55,1.38
-1080.75,0.149,6.05,72.42,-1664.76,1.54,1.35
-1096.03,0.15,6.05,72.39,-1671.5,1.53,1.31
-1096.01,0.151,6.058,72.39,-1677.35,1.53,1.3
-1088.12,0.152,6.046,72.37,-1682.33,1.55,1.3
-1077.57,0.153,6.055,72.37,-1685.5,1.56,1.31
-1068.49,0.153,6.052,72.36,-1687.14,1.58,1.32
-1069.84,0.154,6.046,72.36,-1694.79,1.58,1.32
-1075.91,0.154,6.053,72.37,-1705.89,1.59,1.31
-1090.55,0.156,6.053,72.37,-1714.44,1.57,1.29
-1096.12,0.157,6.056,72.39,-1722.57,1.57,1.28
-1092.09,0.159,6.046,72.42,-1727.05,1.58,1.27
-1080.72,0.16,6.062,72.43,-1738.19,1.61,1.28
-1073.22,0.161,6.049,72.45,-1745.53,1.63,1.28
-1064.36,0.163,6.048,72.47,-1757.95,1.65,1.29
-1067.84,0.164,6.048,72.49,-1774.03,1.66,1.28
-1081.73,0.164,6.045,72.5,-1785.01,1.65,1.26
-1095.39,0.165,6.049,72.51,-1789.48,1.63,1.24
-1100.2,0.167,6.048,72.52,-1788.04,1.63,1.22
-1094.86,0.168,6.049,72.5,-1789.62,1.63,1.22
-1079.7,0.169,6.049,72.5,-1794.65,1.66,1.24
-1065.74,0.17,6.048,72.48,-1802.36,1.69,1.26
-1061.43,0.171,6.046,72.46,-1813.43,1.71,1.26
-1066.94,0.172,6.034,72.45,-1827.59,1.71,1.25
-1082.86,0.173,6.049,72.44,-1838.33,1.7,1.22
-1098.99,0.174,6.052,72.43,-1840.15,1.67,1.18
-1106.4,0.174,6.046,72.42,-1837.24,1.66,1.16
-1099.56,0.175,6.053,72.41,-1838.08,1.67,1.16
-1086.77,0.176,6.05,72.4,-1839.91,1.69,1.18
-1070.28,0.177,6.049,72.39,-1844.31,1.72,1.2
-1063.75,0.179,6.053,72.38,-1848.16,1.74,1.21
-1070.38,0.18,6.046,72.38,-1857.9,1.74,1.2
-1086.6,0.181,6.048,72.39,-1859.2,1.71,1.17
-1102.16,0.182,6.055,72.38,-1857.81,1.69,1.13
-1107.72,0.182,6.05,72.38,-1858.09,1.68,1.11
-1103.34,0.183,6.05,72.39,-1865.33,1.69,1.11
-1088.23,0.183,6.048,72.39,-1874.07,1.72,1.13
-1074.12,0.183,6.053,72.39,-1878.86,1.75,1.15
-1064.85,0.185,6.048,72.39,-1879.78,1.77,1.17
-1066.82,0.186,6.043,72.41,-1883.09,1.77,1.17
-1078.75,0.188,6.055,72.43,-1885.47,1.75,1.14
-1096.25,0.189,6.046,72.44,-1885.94,1.72,1.11
-1106.6,0.191,6.056,72.46,-1882.27,1.7,1.08
-1104.26,0.192,6.048,72.46,-1878.54,1.7,1.07
-1095.27,0.192,6.052,72.47,-1874.58,1.71,1.07
-1083.26,0.193,6.059,72.46,-1868.01,1.72,1.09
-1074.38,0.193,6.052,72.46,-1871.21,1.74,1.1
