FZ,SR,SA,V,FX,NFX,NFY
-999.44,0.121,0.063,40.31,-2752.98,2.75,0.02
-1010.96,0.123,0.063,40.31,-2765.97,2.74,0.02
-1022.3,0.126,0.067,40.32,-2772.08,2.71,0.01
-1026.58,0.128,0.058,40.32,-2767.24,2.7,0.01
-1028.06,0.129,0.057,40.33,-2755.37,2.68,0.01
-1025.35,0.13,0.061,40.33,-2748.82,2.68,0.01
-1020.6,0.131,0.066,40.33,-2749.03,2.69,0.0
-1017.1,0.13,0.064,40.33,-2758.7,2.71,0.0
-1007.31,0.13,0.069,40.31,-2784.52,2.76,0.01
-999.48,0.13,0.061,40.3,-2818.49,2.82,0.01
-994.79,0.132,0.06,40.28,-2850.18,2.87,0.01
-993.58,0.133,0.064,40.25,-2870.25,2.89,0.01
-990.81,0.134,0.061,40.25,-2869.31,2.9,0.02
-993.32,0.136,0.058,40.24,-2860.89,2.88,0.02
-1004.0,0.136,0.061,40.23,-2852.17,2.84,0.02
-1020.55,0.136,0.064,40.23,-2840.41,2.78,0.02
-1033.24,0.136,0.082,40.23,-2828.75,2.74,0.01
-1043.17,0.137,0.063,40.23,-2814.23,2.7,0.01
-1041.44,0.138,0.061,40.24,-2804.15,2.69,0.01
-1035.78,0.139,0.066,40.24,-2812.37,2.72,0.0
-1031.76,0.14,0.067,40.23,-2835.45,2.75,0.0
-1020.04,0.142,0.079,40.25,-2871.49,2.82,0.0
-1011.55,0.143,0.066,40.25,-2912.88,2.88,0.0
-1005.25,0.144,0.058,40.26,-2947.25,2.93,0.01
-1002.32,0.146,0.077,40.27,-2974.06,2.97,0.01
-997.79,0.147,0.058,40.28,-2982.26,2.99,0.02
-994.16,0.148,0.06,40.3,-2977.33,2.99,0.02
-999.67,0.149,0.06,40.3,-2970.92,2.97,0.02
-1012.83,0.15,0.066,40.3,-2964.89,2.93,0.02
-1026.87,0.151,0.063,40.31,-2962.6,2.89,0.01
-1035.39,0.153,0.069,40.3,-2951.46,2.85,0.01
-1038.4,0.156,0.069,40.32,-2939.42,2.83,0.0
-1043.24,0.158,0.069,40.32,-2933.38,2.81,0.0
-1041.32,0.159,0.067,40.32,-2939.16,2.82,0.0
-1029.78,0.159,0.064,40.34,-2961.24,2.88,0.0
-1019.15,0.16,0.066,40.33,-2993.74,2.94,0.01
-1009.84,0.159,0.064,40.33,-3025.46,3.0,0.01
-1007.94,0.158,0.064,40.32,-3053.32,3.03,0.01
-1003.37,0.159,0.064,40.31,-3068.39,3.06,0.01
-997.87,0.159,0.06,40.3,-3068.27,3.07,0.01
-995.81,0.161,0.064,40.29,-3058.24,3.07,0.01
-1006.5,0.161,0.063,40.26,-3049.78,3.03,0.01
-1019.8,0.163,0.073,40.25,-3044.18,2.99,0.01
-1033.32,0.164,0.061,40.24,-3040.14,2.94,0.01
-1043.99,0.164,0.063,40.24,-3025.03,2.9,0.01
-1053.54,0.165,0.058,40.23,-3006.63,2.85,0.01
-1056.73,0.166,0.082,40.24,-2992.04,2.83,0.0
-1051.56,0.167,0.066,40.24,-2994.03,2.85,0.0
-1040.36,0.168,0.07,40.24,-3010.76,2.89,0.0
-1031.61,0.169,0.064,40.24,-3039.42,2.95,0.0
-1022.93,0.17,0.06,40.24,-3074.15,3.01,0.01
-1017.81,0.171,0.07,40.25,-3101.58,3.05,0.01
-1010.52,0.174,0.072,40.27,-3114.89,3.08,0.01
-1005.55,0.176,0.066,40.28,-3107.31,3.09,0.01
-1010.56,0.177,0.066,40.28,-3090.32,3.06,0.02
-1017.35,0.177,0.063,40.3,-3076.75,3.02,0.02
-1030.14,0.178,0.063,40.31,-3067.82,2.98,0.02
-1041.27,0.177,0.069,40.3,-3063.2,2.94,0.02
-1053.25,0.177,0.064,40.29,-3051.14,2.9,0.02
-1061.98,0.178,0.067,40.3,-3034.13,2.86,0.01
-1066.9,0.179,0.06,40.29,-3019.53,2.83,0.0
-1064.42,0.18,0.063,40.29,-3014.36,2.83,0.0
-1053.85,0.182,0.064,40.29,-3023.09,2.87,0.0
-1041.45,0.184,0.064,40.3,-3042.12,2.92,0.0
-1037.42,0.185,0.061,40.31,-3069.53,2.96,0.01
-1028.59,0.186,0.066,40.3,-3095.66,3.01,0.01
-1020.12,0.185,0.056,40.31,-3109.74,3.05,0.01
-1020.68,0.186,0.058,40.3,-3109.16,3.05,0.02
-1020.14,0.186,0.06,40.3,-3099.08,3.04,0.02
-1021.28,0.185,0.073,40.3,-3083.01,3.02,0.02
-1025.62,0.185,0.066,40.29,-3071.82,3.0,0.02
